CustomerID,Country,IsB2B,Recence,Frequence,Montant,R_score,F_score,M_score,RFM_Score,Segment
12461,Switzerland,False,115,2,826.88,2,2,3,7,Clients Moyens
12462,Spain,False,39,2,1189.59,4,2,4,10,Nouveaux Clients
12463,Belgium,False,74,4,1344.78,3,4,4,11,Clients Fidèles
12464,Belgium,False,31,8,1212.05,5,5,4,14,Champions
12465,Belgium,False,38,2,742.19,4,2,3,9,Nouveaux Clients
12468,Germany,False,208,2,729.54,1,2,3,6,Clients Perdus
12471,Germany,False,23,30,19824.05,5,5,5,15,Champions
12472,Germany,False,53,7,6572.11,4,5,5,14,Champions
12473,Germany,False,50,5,3938.55,4,4,5,13,Champions
12474,Germany,False,38,18,7375.79,4,5,5,14,Champions
12475,Germany,False,74,1,723.38,3,1,3,7,Clients Moyens
12476,Germany,False,36,11,6816.42,4,5,5,14,Champions
12477,Germany,False,43,6,13219.74,4,4,5,13,Champions
12478,Greece,False,24,1,680.99,5,1,3,9,Nouveaux Clients
12479,Germany,False,32,1,527.2,5,1,3,9,Nouveaux Clients
12480,Germany,False,49,4,3281.63,4,4,5,13,Champions
12481,Germany,False,43,10,5596.32,4,5,5,14,Champions
12483,Sweden,False,38,8,2484.98,4,5,5,14,Champions
12484,Spain,False,53,6,4541.72,4,4,5,13,Champions
12488,France,False,30,3,1298.66,5,3,4,12,Clients Fidèles
12489,France,False,357,1,334.93,1,1,2,4,Clients Perdus
12490,France,False,26,10,5417.93,5,5,5,15,Champions
12491,France,False,59,1,460.4,3,1,2,6,Clients Moyens
12492,Germany,False,84,2,263.21000000000004,3,2,2,7,Clients Moyens
12493,France,False,186,2,433.74,2,2,2,6,Clients Moyens
12494,France,False,36,7,1246.1,4,5,4,13,Champions
12497,Germany,True,102,1,1043.1,2,1,4,7,Clients Moyens
12498,Germany,False,42,3,403.7000000000001,4,3,2,9,Clients Fidèles
12500,Germany,False,44,11,4257.82,4,5,5,14,Champions
12501,Germany,False,357,1,2169.39,1,1,5,7,Clients Perdus
12502,Spain,False,116,5,3723.87,2,4,5,11,Clients à Risque
12504,Germany,False,39,2,482.05,4,2,2,8,Nouveaux Clients
12506,France,False,253,1,73.5,1,1,1,3,Clients Perdus
12507,Spain,False,155,3,1304.81,2,3,4,9,Clients à Risque
12508,France,False,47,2,398.27,4,2,2,8,Nouveaux Clients
12509,France,False,305,1,176.5,1,1,1,3,Clients Perdus
12510,Spain,False,163,2,982.57,2,2,4,8,Clients Moyens
12512,Israel,False,87,2,138.03,3,2,1,6,Clients Moyens
12513,France,False,133,1,612.29,2,1,3,6,Clients Moyens
12514,Italy,False,288,1,1017.68,1,1,4,6,Clients Perdus
12515,Italy,False,374,1,383.7,1,1,2,4,Clients Perdus
12516,Germany,False,98,2,1312.06,2,2,4,8,Clients Moyens
12517,Germany,False,49,5,2502.84,4,4,5,13,Champions
12518,Germany,False,21,5,2056.89,5,4,4,13,Champions
12519,Germany,False,84,1,340.84000000000003,3,1,2,6,Clients Moyens
12520,Germany,False,100,5,2634.26,2,4,5,11,Clients à Risque
12521,Germany,False,163,1,599.68,2,1,3,6,Clients Moyens
12522,Germany,False,60,2,192.72,3,2,1,6,Clients Moyens
12523,France,False,40,11,1789.77,4,5,4,13,Champions
12524,Germany,False,30,8,4485.72,5,5,5,15,Champions
12526,Germany,False,21,3,1316.66,5,3,4,12,Clients Fidèles
12527,Germany,False,102,3,348.71000000000004,2,3,2,7,Clients à Risque
12528,Germany,False,30,6,1933.48,5,5,4,14,Champions
12530,Germany,False,80,4,1662.28,3,4,4,11,Clients Fidèles
12531,Germany,False,35,1,125.22,4,1,1,6,Nouveaux Clients
12532,France,False,51,1,349.83000000000004,4,1,2,7,Nouveaux Clients
12534,Germany,False,151,1,1089.18,2,1,4,7,Clients Moyens
12535,France,False,112,2,716.35,2,2,3,7,Clients Moyens
12536,France,False,64,3,12601.830000000002,3,3,5,11,Clients Fidèles
12538,Spain,False,50,1,363.95,4,1,2,7,Nouveaux Clients
12539,Spain,False,43,4,5568.35,4,4,5,13,Champions
12540,Spain,False,40,17,13400.24,4,5,5,14,Champions
12541,Spain,False,50,3,981.18,4,3,4,11,Clients Fidèles
12544,Spain,False,57,1,372.7,3,1,2,6,Clients Moyens
12545,Spain,False,96,2,1000.39,2,2,4,8,Clients Moyens
12546,Spain,False,67,2,1161.5,3,2,4,9,Clients Moyens
12547,Spain,False,218,2,207.8,1,2,1,4,Clients Perdus
12548,Spain,False,187,1,95.2,2,1,1,4,Clients Moyens
12550,Spain,False,100,1,964.83,2,1,4,7,Clients Moyens
12551,Spain,False,378,1,168.0,1,1,1,3,Clients Perdus
12552,Italy,False,59,2,437.82,3,2,2,7,Clients Moyens
12553,France,False,29,10,3692.28,5,5,5,15,Champions
12556,Spain,False,71,2,603.71,3,2,3,8,Clients Moyens
12557,Spain,True,37,5,11990.96,4,4,5,13,Champions
12558,USA,False,28,1,269.96,5,1,2,8,Nouveaux Clients
12559,Germany,False,331,2,561.71,1,2,3,6,Clients Perdus
12560,Germany,False,26,3,2134.01,5,3,5,13,Clients Fidèles
12561,Germany,False,323,1,238.85,1,1,1,3,Clients Perdus
12562,France,False,29,7,3781.74,5,5,5,15,Champions
12564,France,False,282,1,456.9,1,1,2,4,Clients Perdus
12565,Saudi Arabia,False,309,1,145.92000000000002,1,1,1,3,Clients Perdus
12566,Germany,False,107,1,351.65,2,1,2,5,Clients Moyens
12567,France,False,43,10,9401.28,4,5,5,14,Champions
12569,Germany,False,23,32,4124.6900000000005,5,5,5,15,Champions
12571,France,False,60,2,519.61,3,2,3,8,Clients Moyens
12572,Germany,False,29,2,1020.42,5,2,4,11,Nouveaux Clients
12573,France,False,248,1,160.54000000000002,1,1,1,3,Clients Perdus
12574,France,False,336,1,218.45,1,1,1,3,Clients Perdus
12576,Poland,False,56,5,1315.83,3,4,4,11,Clients Fidèles
12577,France,False,56,3,657.8,3,3,3,9,Clients Fidèles
12578,Italy,False,42,2,2794.51,4,2,5,11,Nouveaux Clients
12579,France,False,99,1,440.42,2,1,2,5,Clients Moyens
12580,Germany,False,267,1,415.7,1,1,2,4,Clients Perdus
12581,Germany,False,60,1,197.71,3,1,1,5,Clients Moyens
12582,Finland,False,259,2,511.36,1,2,3,6,Clients Perdus
12583,France,False,23,15,7281.38,5,5,5,15,Champions
12584,Italy,False,24,9,2338.15,5,5,5,15,Champions
12585,Germany,False,255,2,2040.1,1,2,4,7,Clients Perdus
12586,Italy,False,38,1,196.94000000000003,4,1,1,6,Nouveaux Clients
12587,Finland,False,28,1,144.0,5,1,1,7,Nouveaux Clients
12588,Finland,False,60,1,214.9,3,1,1,5,Clients Moyens
12589,France,False,49,2,646.68,4,2,3,9,Nouveaux Clients
12590,Germany,True,232,2,9864.26,1,2,5,8,Clients Perdus
12591,Italy,False,338,1,452.85,1,1,2,4,Clients Perdus
12592,Germany,False,113,2,437.6,2,2,2,6,Clients Moyens
12593,France,False,129,3,418.1,2,3,2,7,Clients à Risque
12594,Italy,False,58,10,3338.2200000000003,3,5,5,13,Clients Fidèles
12596,Spain,False,72,2,618.27,3,2,3,8,Clients Moyens
12597,Spain,False,40,4,3811.22,4,4,5,13,Champions
12598,France,False,30,8,3023.08,5,5,5,15,Champions
12599,France,False,50,7,1032.58,4,5,4,13,Champions
12600,Germany,False,49,10,2599.04,4,5,5,14,Champions
12601,Germany,False,210,5,577.0600000000001,1,4,3,8,Clients à Risque
12602,France,False,79,1,153.12,3,1,1,5,Clients Moyens
12603,Germany,False,42,1,739.1999999999999,4,1,3,8,Nouveaux Clients
12604,France,False,100,2,254.18,2,2,2,6,Clients Moyens
12607,USA,False,81,1,1579.51,3,1,4,8,Clients Moyens
12609,Germany,False,99,3,1126.85,2,3,4,9,Clients à Risque
12610,Italy,False,43,5,2099.54,4,4,5,13,Champions
12611,Italy,False,73,1,1193.32,3,1,4,8,Clients Moyens
12612,Germany,False,95,1,704.04,2,1,3,6,Clients Moyens
12613,Germany,False,78,5,3344.38,3,4,5,12,Clients Fidèles
12614,Germany,False,298,1,315.6,1,1,2,4,Clients Perdus
12615,France,False,23,4,2291.19,5,4,5,14,Champions
12616,France,False,116,2,713.3,2,2,3,7,Clients Moyens
12617,France,False,50,1,355.53000000000003,4,1,2,7,Nouveaux Clients
12618,Italy,False,42,1,177.31,4,1,1,6,Nouveaux Clients
12619,Germany,False,37,9,3641.24,4,5,5,14,Champions
12620,France,False,35,3,1339.41,4,3,4,11,Clients Fidèles
12621,Germany,False,22,20,13689.67,5,5,5,15,Champions
12622,Germany,False,253,1,180.1,1,1,1,3,Clients Perdus
12623,Germany,False,297,1,305.1,1,1,2,4,Clients Perdus
12624,France,False,127,2,641.13,2,2,3,7,Clients Moyens
12625,Germany,False,232,2,2683.82,1,2,5,8,Clients Perdus
12626,Germany,False,44,9,6620.4800000000005,4,5,5,14,Champions
12627,Germany,False,31,7,4478.53,5,5,5,15,Champions
12628,Germany,False,25,3,786.46,5,3,3,11,Clients Fidèles
12630,Finland,False,30,2,1270.88,5,2,4,11,Nouveaux Clients
12631,Finland,False,78,1,640.5,3,1,3,7,Clients Moyens
12633,Germany,False,79,4,2163.98,3,4,5,12,Clients Fidèles
12635,Germany,False,110,2,1689.18,2,2,4,8,Clients Moyens
12637,France,False,88,8,6021.9,3,5,5,13,Clients Fidèles
12638,Sweden,False,54,1,671.69,3,1,3,7,Clients Moyens
12639,Sweden,False,259,1,486.1,1,1,2,4,Clients Perdus
12640,France,False,44,3,1174.58,4,3,4,11,Clients Fidèles
12641,Sweden,False,136,1,185.9,2,1,1,4,Clients Moyens
12642,Germany,False,46,3,1013.26,4,3,4,11,Clients Fidèles
12643,France,False,149,6,3344.64,2,5,5,12,Clients à Risque
12644,Germany,False,150,1,477.91,2,1,2,5,Clients Moyens
12645,Germany,False,54,4,1775.18,3,4,4,11,Clients Fidèles
12646,USA,False,25,2,1346.97,5,2,4,11,Nouveaux Clients
12647,Germany,False,43,12,3722.82,4,5,5,14,Champions
12648,Germany,False,175,1,318.05,2,1,2,5,Clients Moyens
12649,Germany,False,128,3,623.51,2,3,3,8,Clients à Risque
12650,France,False,24,1,314.44,5,1,2,8,Nouveaux Clients
12651,France,False,355,1,114.0,1,1,1,3,Clients Perdus
12652,France,False,352,1,919.98,1,1,3,5,Clients Perdus
12653,Israel,False,169,2,2209.85,2,2,5,9,Clients Moyens
12654,Germany,False,31,5,601.98,5,4,3,12,Clients Fidèles
12656,France,False,38,5,4051.17,4,4,5,13,Champions
12657,France,False,32,4,1643.18,5,4,4,13,Champions
12658,Germany,False,39,1,686.05,4,1,3,8,Nouveaux Clients
12659,France,False,50,1,91.68,4,1,1,6,Nouveaux Clients
12660,France,False,32,1,245.1,5,1,1,7,Nouveaux Clients
12662,Germany,False,21,11,3849.78,5,5,5,15,Champions
12664,Finland,False,29,9,4881.88,5,5,5,15,Champions
12665,Germany,False,345,1,63.0,1,1,1,3,Clients Perdus
12667,Finland,False,79,1,620.13,3,1,3,7,Clients Moyens
12668,Germany,False,32,4,3807.15,5,4,5,14,Champions
12669,France,False,171,3,2744.03,2,3,5,10,Clients à Risque
12670,France,False,31,5,2996.05,5,4,5,14,Champions
12672,France,False,350,1,225.9,1,1,1,3,Clients Perdus
12673,Germany,False,26,2,610.52,5,2,3,10,Nouveaux Clients
12674,France,False,59,4,1970.6,3,4,4,11,Clients Fidèles
12676,Sweden,False,45,6,1331.39,4,5,4,13,Champions
12678,France,True,63,12,17628.46,3,5,5,13,Clients Fidèles
12679,France,False,79,4,1113.02,3,4,4,11,Clients Fidèles
12680,France,False,21,4,862.81,5,4,3,12,Clients Fidèles
12681,France,False,35,22,13787.54,4,5,5,14,Champions
12682,France,False,24,31,12288.22,5,5,5,15,Champions
12683,France,False,25,15,8476.57,5,5,5,15,Champions
12684,France,False,28,7,2283.63,5,5,5,15,Champions
12685,France,False,49,6,2863.08,4,5,5,14,Champions
12686,France,False,392,1,89.14,1,1,1,3,Clients Perdus
12688,Israel,False,134,1,4873.81,2,1,5,8,Clients Moyens
12689,France,False,46,2,1247.61,4,2,4,10,Nouveaux Clients
12690,France,False,226,1,389.01,1,1,2,4,Clients Perdus
12691,France,False,49,6,1035.8,4,5,4,13,Champions
12693,Germany,False,148,4,855.91,2,4,3,9,Clients à Risque
12694,France,False,91,2,869.67,3,2,3,8,Clients Moyens
12695,France,False,28,4,582.1,5,4,3,12,Clients Fidèles
12697,Sweden,False,49,3,957.59,4,3,4,11,Clients Fidèles
12700,France,False,28,4,4939.99,5,4,5,14,Champions
12701,Germany,False,100,2,797.71,2,2,3,7,Clients Moyens
12702,Germany,False,40,1,219.0,4,1,1,6,Nouveaux Clients
12703,Germany,False,92,1,283.55,3,1,2,6,Clients Moyens
12704,Finland,False,28,8,2340.84,5,5,5,15,Champions
12705,Germany,False,36,9,6868.29,4,5,5,14,Champions
12707,France,False,312,1,603.42,1,1,3,5,Clients Perdus
12708,Germany,False,50,10,2712.91,4,5,5,14,Champions
12709,Germany,False,36,15,9736.52,4,5,5,14,Champions
12710,Germany,False,117,3,1149.02,2,3,4,9,Clients à Risque
12712,Germany,False,49,13,4396.13,4,5,5,14,Champions
12713,Germany,False,21,1,848.55,5,1,3,9,Nouveaux Clients
12714,France,False,30,5,4708.86,5,4,5,14,Champions
12715,Sweden,False,127,1,353.86,2,1,2,5,Clients Moyens
12716,France,False,24,2,1053.49,5,2,4,11,Nouveaux Clients
12717,Greece,False,172,2,1030.98,2,2,4,8,Clients Moyens
12718,France,False,92,1,238.25,3,1,1,5,Clients Moyens
12719,France,False,26,2,644.95,5,2,3,10,Nouveaux Clients
12720,Germany,False,23,25,5781.7300000000005,5,5,5,15,Champions
12721,France,False,52,6,2656.13,4,5,5,14,Champions
12722,France,False,106,4,997.63,2,4,4,10,Clients à Risque
12723,France,False,24,5,725.07,5,4,3,12,Clients Fidèles
12724,France,False,26,4,1031.41,5,4,4,13,Champions
12725,Italy,False,392,1,427.8,1,1,2,4,Clients Perdus
12726,France,False,49,7,2609.1,4,5,5,14,Champions
12727,France,False,31,7,3980.7,5,5,5,15,Champions
12728,France,False,92,4,836.33,3,4,3,10,Clients Fidèles
12729,France,False,134,1,453.01,2,1,2,5,Clients Moyens
12731,France,False,44,12,18895.91,4,5,5,14,Champions
12732,France,False,200,1,236.26,2,1,1,4,Clients Moyens
12733,USA,False,255,1,383.95,1,1,2,4,Clients Perdus
12734,France,False,373,1,110.4,1,1,1,3,Clients Perdus
12735,France,False,336,2,779.5699999999999,1,2,3,6,Clients Perdus
12736,France,False,353,1,234.0,1,1,1,3,Clients Perdus
12738,Germany,False,393,1,155.35,1,1,1,3,Clients Perdus
12739,United Arab Emirates,False,99,2,1013.04,2,2,4,8,Clients Moyens
12740,France,False,84,1,427.6,3,1,2,6,Clients Moyens
12743,Unspecified,False,155,2,546.43,2,2,3,7,Clients Moyens
12744,Singapore,False,72,7,21279.29,3,5,5,13,Clients Fidèles
12747,United Kingdom,False,23,11,4196.01,5,5,5,15,Champions
12748,United Kingdom,False,21,209,33719.73,5,5,5,15,Champions
12749,United Kingdom,False,24,5,4090.88,5,4,5,14,Champions
12750,Poland,False,149,1,275.88,2,1,2,5,Clients Moyens
12752,Norway,False,102,1,4366.78,2,1,5,8,Clients Moyens
12753,Japan,False,43,6,21429.39,4,5,5,14,Champions
12754,Japan,False,256,3,3010.74,1,3,5,9,Clients à Risque
12755,Japan,False,301,2,3811.95,1,2,5,8,Clients Perdus
12756,Japan,False,107,1,112.08,2,1,1,4,Clients Moyens
12757,Portugal,False,36,13,7857.1,4,5,5,14,Champions
12758,Portugal,False,137,2,2791.59,2,2,5,9,Clients Moyens
12759,Netherlands,False,73,3,1531.44,3,3,4,10,Clients Fidèles
12762,Portugal,False,28,2,1898.52,5,2,4,11,Nouveaux Clients
12763,Japan,False,159,2,494.08,2,2,3,7,Clients Moyens
12764,Lebanon,False,337,1,1693.88,1,1,4,6,Clients Perdus
12766,Portugal,False,24,7,6989.63,5,5,5,15,Champions
12769,Brazil,False,259,1,1143.6,1,1,4,6,Clients Perdus
12770,Japan,True,231,1,1351.45,1,1,4,6,Clients Perdus
12772,Portugal,False,80,1,892.47,3,1,3,7,Clients Moyens
12775,Netherlands,False,38,5,1386.04,4,4,4,12,Champions
12778,Netherlands,False,40,6,822.23,4,5,3,12,Clients Fidèles
12779,Poland,False,58,8,3981.36,3,5,5,13,Clients Fidèles
12781,Czech Republic,False,84,2,826.74,3,2,3,8,Clients Moyens
12782,Portugal,False,25,5,2330.92,5,4,5,14,Champions
12783,Portugal,False,23,6,2225.91,5,5,5,15,Champions
12784,Portugal,False,30,2,574.42,5,2,3,10,Nouveaux Clients
12785,Portugal,False,385,1,311.95,1,1,2,4,Clients Perdus
12787,Netherlands,False,30,3,463.66,5,3,2,10,Clients Fidèles
12789,Netherlands,False,86,1,91.85,3,1,1,5,Clients Moyens
12790,Netherlands,False,213,1,324.92,1,1,2,4,Clients Perdus
12791,Netherlands,False,394,1,192.6,1,1,1,3,Clients Perdus
12792,Portugal,False,277,1,400.54,1,1,2,4,Clients Perdus
12793,Portugal,False,355,2,545.48,1,2,3,6,Clients Perdus
12794,Portugal,False,74,2,860.41,3,2,3,8,Clients Moyens
12795,Portugal,False,39,1,430.48,4,1,2,7,Nouveaux Clients
12797,Portugal,False,386,1,254.03,1,1,2,4,Clients Perdus
12798,Japan,True,31,3,6977.04,5,3,5,13,Clients Fidèles
12802,Netherlands,False,207,1,427.58,1,1,2,4,Clients Perdus
12808,Portugal,False,57,3,483.65,3,3,2,8,Clients Fidèles
12809,Portugal,False,198,1,489.31,2,1,2,5,Clients Moyens
12811,Portugal,False,281,3,514.85,1,3,3,7,Clients à Risque
12812,Japan,False,65,1,229.64,3,1,1,5,Clients Moyens
12814,Poland,False,122,1,125.92,2,1,1,4,Clients Moyens
12815,Poland,False,168,2,1063.46,2,2,4,8,Clients Moyens
12816,Poland,False,116,2,572.2,2,2,3,7,Clients Moyens
12817,Austria,False,302,1,166.04000000000002,1,1,1,3,Clients Perdus
12818,Austria,False,282,1,1542.08,1,1,4,6,Clients Perdus
12820,United Kingdom,False,24,4,942.34,5,4,4,13,Champions
12821,United Kingdom,False,235,1,92.72,1,1,1,3,Clients Perdus
12822,United Kingdom,False,91,2,948.88,3,2,4,9,Clients Moyens
12823,United Kingdom,False,95,5,1759.5,2,4,4,10,Clients à Risque
12824,United Kingdom,False,80,1,397.12,3,1,2,6,Clients Moyens
12826,United Kingdom,False,23,7,1474.72,5,5,4,14,Champions
12827,United Kingdom,False,26,3,430.15,5,3,2,10,Clients Fidèles
12828,United Kingdom,False,23,6,1018.71,5,5,4,14,Champions
12829,United Kingdom,False,357,2,293.0,1,2,2,5,Clients Perdus
12830,United Kingdom,True,58,6,6814.64,3,5,5,13,Clients Fidèles
12831,United Kingdom,False,283,1,215.05,1,1,1,3,Clients Perdus
12832,United Kingdom,False,53,2,383.03,4,2,2,8,Nouveaux Clients
12833,United Kingdom,False,166,1,417.38,2,1,2,5,Clients Moyens
12834,United Kingdom,False,303,1,312.38,1,1,2,4,Clients Perdus
12836,United Kingdom,False,80,4,2612.86,3,4,5,12,Clients Fidèles
12837,United Kingdom,False,194,1,134.1,2,1,1,4,Clients Moyens
12838,United Kingdom,False,54,2,683.13,3,2,3,8,Clients Moyens
12839,United Kingdom,False,23,14,5591.42,5,5,5,15,Champions
12840,United Kingdom,False,164,4,2726.77,2,4,5,11,Clients à Risque
12841,United Kingdom,False,25,25,4022.35,5,5,5,15,Champions
12842,United Kingdom,False,91,2,1118.99,3,2,4,9,Clients Moyens
12843,United Kingdom,False,86,8,1702.26,3,5,4,12,Clients Fidèles
12844,United Kingdom,False,50,2,325.96000000000004,4,2,2,8,Nouveaux Clients
12845,United Kingdom,False,288,4,354.09000000000003,1,4,2,7,Clients à Risque
12847,United Kingdom,False,43,1,871.54,4,1,3,8,Nouveaux Clients
12849,United Kingdom,False,52,2,1050.89,4,2,4,10,Nouveaux Clients
12851,United Kingdom,False,117,1,135.18,2,1,1,4,Clients Moyens
12852,United Kingdom,False,315,1,311.55,1,1,2,4,Clients Perdus
12853,United Kingdom,False,155,6,1957.1,2,5,4,11,Clients à Risque
12854,United Kingdom,False,99,3,1324.5,2,3,4,9,Clients à Risque
12855,United Kingdom,False,393,1,38.1,1,1,1,3,Clients Perdus
12856,United Kingdom,False,28,6,2179.93,5,5,5,15,Champions
12857,United Kingdom,False,231,2,1106.4,1,2,4,7,Clients Perdus
12863,United Kingdom,False,73,1,521.2,3,1,3,7,Clients Moyens
12864,United Kingdom,True,159,1,147.12,2,1,1,4,Clients Moyens
12865,Austria,False,47,2,1568.23,4,2,4,10,Nouveaux Clients
12866,Belgium,False,304,1,559.12,1,1,3,5,Clients Perdus
12867,United Kingdom,False,47,7,4036.82,4,5,5,14,Champions
12868,United Kingdom,False,206,6,1607.0600000000002,1,5,4,10,Clients à Risque
12871,United Kingdom,False,105,2,380.64,2,2,2,6,Clients Moyens
12872,United Kingdom,False,347,2,599.97,1,2,3,6,Clients Perdus
12873,United Kingdom,False,303,1,374.0,1,1,2,4,Clients Perdus
12875,United Kingdom,True,164,2,343.2300000000001,2,2,2,6,Clients Moyens
