InvoiceNo,CustomerID,Country,Year,Month,MonthName,Revenue,Nb_Lignes,DateKey,Segment,IsB2B
536437,13694,United Kingdom,2010,12,Dec,842.12,6,20101201,Champions,True
536446,15983,United Kingdom,2010,12,Dec,440.89,32,20101201,Champions,False
536460,14849,United Kingdom,2010,12,Dec,295.54,14,20101201,Champions,False
536463,14849,United Kingdom,2010,12,Dec,17.4,1,20101201,Champions,False
536464,17968,United Kingdom,2010,12,Dec,277.35,85,20101201,Clients Perdus,False
536466,14849,United Kingdom,2010,12,Dec,42.9,2,20101201,Champions,False
536477,16210,United Kingdom,2010,12,Dec,2474.7400000000002,14,20101201,Champions,False
536488,17897,United Kingdom,2010,12,Dec,165.89,35,20101201,Clients à Risque,False
536500,17377,United Kingdom,2010,12,Dec,223.9,15,20101201,Champions,False
536502,16552,United Kingdom,2010,12,Dec,95.28999999999999,5,20101201,Clients à Risque,False
536508,17181,United Kingdom,2010,12,Dec,155.52,2,20101201,Clients Fidèles,False
536514,17951,United Kingdom,2010,12,Dec,295.5,5,20101201,Clients Fidèles,False
536520,14729,United Kingdom,2010,12,Dec,313.49,71,20101201,Clients Perdus,False
536521,12748,United Kingdom,2010,12,Dec,4.95,1,20101201,Champions,False
536522,15012,United Kingdom,2010,12,Dec,191.06,54,20101201,Clients Fidèles,False
536523,12868,United Kingdom,2010,12,Dec,203.3,12,20101201,Clients à Risque,False
536524,17572,United Kingdom,2010,12,Dec,70.80000000000001,4,20101201,Clients Fidèles,False
536525,14078,United Kingdom,2010,12,Dec,136.24,13,20101201,Clients à Risque,False
536526,14001,United Kingdom,2010,12,Dec,301.24,9,20101201,Clients Fidèles,False
536527,12662,Germany,2010,12,Dec,261.48,15,20101201,Champions,False
536528,15525,United Kingdom,2010,12,Dec,313.93,57,20101201,Clients Fidèles,False
536529,14237,United Kingdom,2010,12,Dec,161.0,9,20101201,Clients Perdus,False
536530,17905,United Kingdom,2010,12,Dec,201.75,23,20101201,Clients Fidèles,False
536531,15485,United Kingdom,2010,12,Dec,950.09,23,20101201,Clients Fidèles,False
536532,12433,Norway,2010,12,Dec,1919.14,73,20101201,Champions,False
536533,16955,United Kingdom,2010,12,Dec,156.1,6,20101201,Clients à Risque,False
536534,15350,United Kingdom,2010,12,Dec,115.65,5,20101201,Clients Perdus,False
536535,15605,United Kingdom,2010,12,Dec,194.85,12,20101201,Clients Fidèles,False
536536,18144,United Kingdom,2010,12,Dec,165.04999999999998,3,20101201,Champions,False
536537,15922,United Kingdom,2010,12,Dec,369.5,11,20101201,Clients Perdus,False
536538,14594,United Kingdom,2010,12,Dec,255.0,31,20101201,Clients Fidèles,False
536539,15165,United Kingdom,2010,12,Dec,487.75,27,20101201,Clients Perdus,False
536540,14911,EIRE,2010,12,Dec,540.38,20,20101201,Champions,False
536541,14911,EIRE,2010,12,Dec,15.0,1,20101201,Champions,False
536542,16456,United Kingdom,2010,12,Dec,787.4,16,20101201,Clients à Risque,False
536551,17346,United Kingdom,2010,12,Dec,146.61,35,20101201,Champions,False
536556,17643,United Kingdom,2010,12,Dec,101.55,8,20101201,Clients Perdus,False
536557,17841,United Kingdom,2010,12,Dec,537.38,65,20101201,Champions,False
536559,17873,United Kingdom,2010,12,Dec,215.14999999999998,9,20101201,Clients à Risque,False
536560,13093,United Kingdom,2010,12,Dec,799.4,13,20101201,Clients à Risque,False
536561,12921,United Kingdom,2010,12,Dec,322.40000000000003,15,20101201,Champions,False
536562,13468,United Kingdom,2010,12,Dec,308.65000000000003,18,20101201,Champions,False
536563,17760,United Kingdom,2010,12,Dec,172.54,9,20101201,Clients Fidèles,False
536564,13468,United Kingdom,2010,12,Dec,51.4,2,20101201,Champions,False
536566,16928,United Kingdom,2010,12,Dec,116.25,6,20101201,Clients à Risque,False
536567,16048,United Kingdom,2010,12,Dec,251.40000000000003,7,20101201,Clients à Risque,False
536568,16048,United Kingdom,2010,12,Dec,5.04,1,20101201,Clients à Risque,False
536569,16274,United Kingdom,2010,12,Dec,357.95,67,20101201,Clients Perdus,False
536570,14496,United Kingdom,2010,12,Dec,304.34000000000003,5,20101201,Clients à Risque,False
536571,14696,United Kingdom,2010,12,Dec,294.62,18,20101201,Champions,False
536572,16539,United Kingdom,2010,12,Dec,442.34999999999997,21,20101201,Champions,False
536573,17025,United Kingdom,2010,12,Dec,143.12,4,20101201,Clients Fidèles,False
536574,17025,United Kingdom,2010,12,Dec,17.85,1,20101201,Clients Fidèles,False
536575,13777,United Kingdom,2010,12,Dec,1552.98,8,20101201,Champions,False
536576,13777,United Kingdom,2010,12,Dec,2558.42,16,20101201,Champions,False
536577,13777,United Kingdom,2010,12,Dec,497.0,4,20101201,Champions,False
536578,17690,United Kingdom,2010,12,Dec,279.6,8,20101201,Champions,False
536579,13777,United Kingdom,2010,12,Dec,315.96000000000004,2,20101201,Champions,False
536580,17690,United Kingdom,2010,12,Dec,97.2,6,20101201,Champions,False
536581,13777,United Kingdom,2010,12,Dec,330.0,1,20101201,Champions,False
536582,12947,United Kingdom,2010,12,Dec,304.04,17,20101201,Clients à Risque,False
536583,13777,United Kingdom,2010,12,Dec,198.0,1,20101201,Champions,False
536584,13777,United Kingdom,2010,12,Dec,1132.8000000000002,1,20101201,Champions,False
536585,17460,United Kingdom,2010,12,Dec,19.9,1,20101201,Clients à Risque,False
536586,18229,United Kingdom,2010,12,Dec,344.2,7,20101201,Champions,False
536587,14142,United Kingdom,2010,12,Dec,311.81,22,20101201,Clients Perdus,False
536588,17069,United Kingdom,2010,12,Dec,277.05,11,20101201,Champions,False
536590,13065,United Kingdom,2010,12,Dec,205.86,14,20101201,Clients Perdus,False
536591,14606,United Kingdom,2010,12,Dec,198.32,40,20101201,Champions,False
536593,16835,United Kingdom,2010,12,Dec,81.75,5,20101201,Clients à Risque,False
536594,15235,United Kingdom,2010,12,Dec,79.5,5,20101201,Clients à Risque,False
536595,13576,United Kingdom,2010,12,Dec,349.15000000000003,11,20101201,Champions,False
536597,18011,United Kingdom,2010,12,Dec,102.78999999999999,28,20101201,Clients Perdus,False
536598,13090,United Kingdom,2010,12,Dec,160.6,4,20101201,Champions,False
536599,15694,United Kingdom,2010,12,Dec,306.4,6,20101201,Champions,False
536600,17850,United Kingdom,2010,12,Dec,251.62,12,20101201,Clients à Risque,False
536601,17850,United Kingdom,2010,12,Dec,22.2,2,20101201,Clients à Risque,False
536602,17850,United Kingdom,2010,12,Dec,163.76,12,20101201,Clients à Risque,False
536603,17850,United Kingdom,2010,12,Dec,22.2,2,20101201,Clients à Risque,False
536604,14741,United Kingdom,2010,12,Dec,184.5,9,20101201,Champions,False
536605,13715,United Kingdom,2010,12,Dec,272.65000000000003,15,20101201,Clients à Risque,False
536607,17732,United Kingdom,2010,12,Dec,303.97,18,20101201,Clients Perdus,False
536608,12855,United Kingdom,2010,12,Dec,38.1,3,20101201,Clients Perdus,False
536609,17850,United Kingdom,2010,12,Dec,244.46,16,20101201,Clients à Risque,False
536610,17850,United Kingdom,2010,12,Dec,22.2,2,20101201,Clients à Risque,False
536611,15752,United Kingdom,2010,12,Dec,259.65000000000003,14,20101201,Clients Fidèles,False
536612,17850,United Kingdom,2010,12,Dec,206.76,15,20101201,Clients à Risque,False
536613,17855,United Kingdom,2010,12,Dec,208.97,17,20101201,Clients Perdus,False
536614,17850,United Kingdom,2010,12,Dec,22.2,2,20101201,Clients à Risque,False
536615,14047,United Kingdom,2010,12,Dec,286.92,12,20101201,Champions,False
536616,17925,United Kingdom,2010,12,Dec,244.08,1,20101201,Clients Perdus,True
536617,13941,United Kingdom,2010,12,Dec,1095.1200000000001,11,20101201,Champions,False
536618,17017,United Kingdom,2010,12,Dec,780.12,21,20101201,Champions,False
536619,17017,United Kingdom,2010,12,Dec,97.2,2,20101201,Champions,False
536620,14135,United Kingdom,2010,12,Dec,485.25,23,20101201,Champions,False
536621,13108,United Kingdom,2010,12,Dec,350.06,10,20101201,Clients Perdus,False
536623,15601,United Kingdom,2010,12,Dec,768.38,48,20101201,Champions,False
536624,13418,United Kingdom,2010,12,Dec,610.64,22,20101201,Champions,False
536626,13418,United Kingdom,2010,12,Dec,12.6,1,20101201,Champions,False
536627,15658,United Kingdom,2010,12,Dec,306.2,14,20101201,Clients à Risque,False
536628,17850,United Kingdom,2010,12,Dec,230.56,16,20101201,Clients à Risque,False
536629,17850,United Kingdom,2010,12,Dec,22.2,2,20101201,Clients à Risque,False
536630,17850,United Kingdom,2010,12,Dec,244.46,16,20101201,Clients à Risque,False
536631,17850,United Kingdom,2010,12,Dec,22.2,2,20101201,Clients à Risque,False
536632,14388,United Kingdom,2010,12,Dec,312.8,21,20101201,Champions,False
536633,14901,United Kingdom,2010,12,Dec,204.15,18,20101201,Champions,False
536634,18041,United Kingdom,2010,12,Dec,193.78,14,20101201,Champions,False
536635,15955,United Kingdom,2010,12,Dec,572.38,20,20101201,Champions,False
536636,15070,United Kingdom,2010,12,Dec,106.2,1,20101201,Clients Perdus,False
536637,18041,United Kingdom,2010,12,Dec,235.16,67,20101201,Champions,False
536638,16244,United Kingdom,2010,12,Dec,1056.63,63,20101201,Clients à Risque,False
536639,15111,United Kingdom,2010,12,Dec,288.5,16,20101201,Clients Fidèles,False
536641,12748,United Kingdom,2010,12,Dec,4.25,1,20101201,Champions,False
536643,14390,United Kingdom,2010,12,Dec,223.7,27,20101201,Champions,False
536663,16546,United Kingdom,2010,12,Dec,299.40000000000003,6,20101201,Clients à Risque,False
536667,15260,United Kingdom,2010,12,Dec,362.5,16,20101201,Clients à Risque,False
536670,15260,United Kingdom,2010,12,Dec,58.0,1,20101201,Clients à Risque,False
536671,13305,United Kingdom,2010,12,Dec,136.2,5,20101201,Champions,False
536672,14491,United Kingdom,2010,12,Dec,127.2,4,20101201,Clients à Risque,False
536673,14060,United Kingdom,2010,12,Dec,339.84,8,20101201,Champions,False
536674,15923,United Kingdom,2010,12,Dec,127.08,21,20101201,Clients Perdus,False
536676,16752,United Kingdom,2010,12,Dec,207.5,9,20101201,Clients Perdus,False
536681,17287,United Kingdom,2010,12,Dec,113.92,13,20101201,Champions,False
536685,17850,United Kingdom,2010,12,Dec,380.46,17,20101201,Clients à Risque,False
536688,17850,United Kingdom,2010,12,Dec,22.2,2,20101201,Clients à Risque,False
536690,17850,United Kingdom,2010,12,Dec,331.26,17,20101201,Clients à Risque,False
536693,17850,United Kingdom,2010,12,Dec,22.2,2,20101201,Clients à Risque,False
536698,15363,United Kingdom,2010,12,Dec,326.0,16,20101201,Clients Perdus,False
536707,12915,United Kingdom,2010,12,Dec,199.65,13,20101201,Clients Moyens,False
536732,15544,United Kingdom,2010,12,Dec,354.54,26,20101201,Champions,False
536733,15738,United Kingdom,2010,12,Dec,329.65,14,20101201,Champions,False
536735,17381,United Kingdom,2010,12,Dec,211.2,1,20101201,Champions,True
536736,17381,United Kingdom,2010,12,Dec,824.88,5,20101201,Champions,True
536738,15827,United Kingdom,2010,12,Dec,98.18,7,20101201,Clients à Risque,False
536739,14180,United Kingdom,2010,12,Dec,201.75,12,20101201,Champions,False
536740,15827,United Kingdom,2010,12,Dec,92.75,7,20101201,Clients à Risque,False
536741,13117,United Kingdom,2010,12,Dec,202.12,15,20101201,Champions,False
536742,16916,United Kingdom,2010,12,Dec,198.08,50,20101201,Clients Fidèles,False
536743,17964,United Kingdom,2010,12,Dec,261.76,35,20101201,Clients Fidèles,False
536744,14466,United Kingdom,2010,12,Dec,379.75,10,20101201,Champions,False
536745,17235,United Kingdom,2010,12,Dec,341.90000000000003,10,20101201,Clients Fidèles,False
536746,16510,United Kingdom,2010,12,Dec,248.1,13,20101201,Clients Perdus,False
536747,17802,United Kingdom,2010,12,Dec,100.2,12,20101201,Clients à Risque,False
536748,15107,United Kingdom,2010,12,Dec,116.0,5,20101201,Clients à Risque,False
536749,17976,United Kingdom,2010,12,Dec,353.19,65,20101201,Clients Perdus,False
536750,17850,United Kingdom,2010,12,Dec,434.8,19,20101201,Clients à Risque,False
536751,17850,United Kingdom,2010,12,Dec,22.2,2,20101201,Clients à Risque,False
536752,17850,United Kingdom,2010,12,Dec,390.66,19,20101201,Clients à Risque,False
536753,17850,United Kingdom,2010,12,Dec,22.2,2,20101201,Clients à Risque,False
536754,14449,United Kingdom,2010,12,Dec,210.24,50,20101201,Clients Fidèles,False
536759,16781,United Kingdom,2010,12,Dec,311.25,17,20101201,Clients Perdus,False
536761,13491,United Kingdom,2010,12,Dec,98.9,7,20101201,Clients Fidèles,False
536762,16186,United Kingdom,2010,12,Dec,307.68,20,20101201,Champions,False
536763,17685,United Kingdom,2010,12,Dec,452.52,12,20101201,Champions,False
536769,17581,United Kingdom,2010,12,Dec,668.4,31,20101201,Champions,False
536771,17581,United Kingdom,2010,12,Dec,118.38,7,20101201,Champions,False
536777,15732,United Kingdom,2010,12,Dec,138.1,5,20101201,Clients à Risque,False
536778,13138,United Kingdom,2010,12,Dec,193.23,14,20101201,Champions,False
536779,15823,United Kingdom,2010,12,Dec,15.0,1,20101201,Clients Perdus,False
536781,17460,United Kingdom,2010,12,Dec,50.400000000000006,1,20101201,Clients à Risque,False
536782,17567,United Kingdom,2010,12,Dec,517.95,27,20101201,Champions,False
536783,15061,United Kingdom,2010,12,Dec,4076.48,38,20101201,Champions,False
536784,15061,United Kingdom,2010,12,Dec,2170.9,25,20101201,Champions,False
536785,15061,United Kingdom,2010,12,Dec,2730.96,6,20101201,Champions,False
536786,15061,United Kingdom,2010,12,Dec,324.0,2,20101201,Champions,False
536787,17850,United Kingdom,2010,12,Dec,192.46,13,20101201,Clients à Risque,False
536788,15061,United Kingdom,2010,12,Dec,75.0,1,20101201,Champions,False
536789,17850,United Kingdom,2010,12,Dec,22.2,2,20101201,Clients à Risque,False
536790,17850,United Kingdom,2010,12,Dec,532.01,17,20101201,Clients à Risque,False
536791,17850,United Kingdom,2010,12,Dec,44.400000000000006,2,20101201,Clients à Risque,False
536792,15061,United Kingdom,2010,12,Dec,30.0,1,20101201,Champions,False
536793,16203,United Kingdom,2010,12,Dec,170.7,11,20101201,Clients Fidèles,False
536794,13767,United Kingdom,2010,12,Dec,322.8,4,20101201,Champions,False
536795,15640,United Kingdom,2010,12,Dec,333.72,7,20101201,Champions,False
536796,15574,United Kingdom,2010,12,Dec,375.65,121,20101201,Clients à Risque,False
536797,16770,United Kingdom,2010,12,Dec,130.8,6,20101201,Clients Fidèles,False
536798,17838,United Kingdom,2010,12,Dec,717.1600000000001,31,20101201,Champions,False
536799,17228,United Kingdom,2010,12,Dec,183.3,18,20101201,Champions,False
536800,14829,United Kingdom,2010,12,Dec,236.97,19,20101201,Clients Fidèles,False
536802,17412,United Kingdom,2010,12,Dec,197.3,8,20101201,Champions,False
536803,14911,EIRE,2010,12,Dec,22.5,1,20101201,Champions,False
536804,14031,United Kingdom,2010,12,Dec,1714.25,25,20101201,Champions,False
536805,14775,United Kingdom,2010,12,Dec,406.56,20,20101201,Clients Fidèles,False
536806,12971,United Kingdom,2010,12,Dec,45.12,5,20101201,Champions,False
536808,17659,United Kingdom,2010,12,Dec,247.8,12,20101201,Champions,False
536809,15299,United Kingdom,2010,12,Dec,1003.2,1,20101201,Clients Fidèles,True
536810,15299,United Kingdom,2010,12,Dec,303.96,1,20101201,Clients Fidèles,True
536811,15299,United Kingdom,2010,12,Dec,527.85,1,20101201,Clients Fidèles,True
536813,15646,United Kingdom,2010,12,Dec,189.8,17,20101201,Clients à Risque,False
536819,13402,United Kingdom,2010,12,Dec,308.28000000000003,17,20101201,Clients Moyens,False
536821,17757,United Kingdom,2010,12,Dec,143.45000000000002,23,20101201,Champions,False
536823,13011,United Kingdom,2010,12,Dec,50.550000000000004,3,20101201,Clients Perdus,False
536824,13798,United Kingdom,2010,12,Dec,408.0,1,20101201,Champions,True
536830,16754,United Kingdom,2010,12,Dec,2002.4,2,20101201,Clients Perdus,True
536831,16029,United Kingdom,2010,12,Dec,569.4,4,20101201,Clients Fidèles,True
536832,16634,United Kingdom,2010,12,Dec,164.8,8,20101201,Clients à Risque,False
536833,18239,United Kingdom,2010,12,Dec,438.1,29,20101201,Clients à Risque,False
536834,14576,United Kingdom,2010,12,Dec,35.400000000000006,1,20101201,Clients Perdus,False
536835,13145,United Kingdom,2010,12,Dec,295.0,1,20101201,Clients Fidèles,False
536836,18168,United Kingdom,2010,12,Dec,263.3,27,20101201,Clients à Risque,False
536837,14395,United Kingdom,2010,12,Dec,308.68,27,20101201,Champions,False
536838,14865,United Kingdom,2010,12,Dec,37.2,3,20101201,Clients Fidèles,False
536839,15093,United Kingdom,2010,12,Dec,623.73,16,20101201,Champions,False
536840,12738,Germany,2010,12,Dec,155.35,11,20101201,Clients Perdus,False
536841,16150,United Kingdom,2010,12,Dec,393.42,22,20101201,Clients Fidèles,False
536842,17552,United Kingdom,2010,12,Dec,263.62,11,20101201,Clients Fidèles,False
536843,17552,United Kingdom,2010,12,Dec,34.9,2,20101201,Clients Fidèles,False
536844,14236,United Kingdom,2010,12,Dec,189.3,3,20101201,Clients à Risque,False
536845,17961,United Kingdom,2010,12,Dec,127.55,29,20101201,Champions,False
536846,14573,United Kingdom,2010,12,Dec,413.1,76,20101201,Clients à Risque,False
536847,17135,United Kingdom,2010,12,Dec,215.57999999999998,9,20101201,Champions,False
536848,13408,United Kingdom,2010,12,Dec,534.0,3,20101201,Champions,False
536849,17396,United Kingdom,2010,12,Dec,397.5,3,20101201,Clients Fidèles,True
536851,12967,United Kingdom,2010,12,Dec,1368.4,15,20101201,Clients Perdus,False
536852,12686,France,2010,12,Dec,89.14,7,20101201,Clients Perdus,False
536856,13370,United Kingdom,2010,12,Dec,754.87,39,20101201,Clients Perdus,False
536857,16883,United Kingdom,2010,12,Dec,128.03,17,20101201,Clients à Risque,False
536858,13520,Switzerland,2010,12,Dec,303.4,6,20101201,Clients Fidèles,False
536859,12841,United Kingdom,2010,12,Dec,294.25,24,20101201,Champions,False
536860,16905,United Kingdom,2010,12,Dec,254.4,10,20101201,Champions,False
536861,12427,Germany,2010,12,Dec,303.5,10,20101201,Clients Fidèles,False
536863,17967,United Kingdom,2010,12,Dec,123.07,48,20101201,Clients Perdus,False
536874,16891,United Kingdom,2010,12,Dec,232.26,69,20101201,Clients Fidèles,False
536884,14589,United Kingdom,2010,12,Dec,39.75,3,20101201,Clients Perdus,False
536890,14156,EIRE,2010,12,Dec,322.2,3,20101201,Champions,False
536938,14680,United Kingdom,2010,12,Dec,1680.88,14,20101201,Champions,False
536943,17884,United Kingdom,2010,12,Dec,187.51,28,20101201,Clients Fidèles,False
536944,12557,Spain,2010,12,Dec,620.0,5,20101201,Champions,True
536945,14083,United Kingdom,2010,12,Dec,309.54,66,20101201,Champions,False
536946,13013,United Kingdom,2010,12,Dec,841.94,29,20101201,Champions,False
536947,13013,United Kingdom,2010,12,Dec,686.4,38,20101201,Champions,False
536954,17809,United Kingdom,2010,12,Dec,425.0,1,20101201,Champions,False
536956,14210,United Kingdom,2010,12,Dec,304.95000000000005,15,20101201,Clients à Risque,False
536957,17809,United Kingdom,2010,12,Dec,791.7,13,20101201,Champions,False
536960,16477,United Kingdom,2010,12,Dec,225.65,14,20101201,Clients Fidèles,False
536967,12600,Germany,2010,12,Dec,76.5,2,20101201,Champions,False
536968,16013,United Kingdom,2010,12,Dec,534.0,2,20101201,Champions,True
536969,16013,United Kingdom,2010,12,Dec,528.0,1,20101201,Champions,True
536970,17949,United Kingdom,2010,12,Dec,1314.0,1,20101201,Champions,True
536971,12779,Poland,2010,12,Dec,248.16,8,20101201,Clients Fidèles,False
536972,16926,United Kingdom,2010,12,Dec,230.25,14,20101201,Clients Perdus,False
536973,17787,United Kingdom,2010,12,Dec,736.28,31,20101201,Clients à Risque,False
536974,12682,France,2010,12,Dec,336.24,16,20101201,Champions,False
536975,14911,EIRE,2010,12,Dec,1705.65,71,20101201,Champions,False
536976,14723,United Kingdom,2010,12,Dec,149.8,19,20101201,Champions,False
536977,17954,United Kingdom,2010,12,Dec,108.78,14,20101201,Champions,False
536980,17819,United Kingdom,2010,12,Dec,591.47,12,20101201,Clients Fidèles,False
536981,14723,United Kingdom,2010,12,Dec,101.14,24,20101201,Champions,False
536983,12712,Germany,2010,12,Dec,175.53,9,20101201,Champions,False
536984,17841,United Kingdom,2010,12,Dec,339.54,29,20101201,Champions,False
536985,15373,United Kingdom,2010,12,Dec,334.3,11,20101201,Champions,False
536986,16140,United Kingdom,2010,12,Dec,124.14,7,20101201,Clients Fidèles,False
536987,17198,United Kingdom,2010,12,Dec,272.01,53,20101201,Clients Fidèles,False
536988,17238,United Kingdom,2010,12,Dec,254.39000000000001,38,20101201,Champions,False
536989,17238,United Kingdom,2010,12,Dec,115.7,22,20101201,Champions,False
536990,12793,Portugal,2010,12,Dec,131.8,7,20101201,Clients Perdus,False
536992,15769,United Kingdom,2010,12,Dec,91.8,1,20101201,Champions,True
536993,14396,United Kingdom,2010,12,Dec,110.35000000000001,34,20101201,Clients Fidèles,False
536994,14898,United Kingdom,2010,12,Dec,98.5,3,20101201,Champions,False
537022,12725,Italy,2010,12,Dec,427.8,24,20101201,Clients Perdus,False
537023,16725,United Kingdom,2010,12,Dec,122.15,25,20101201,Clients à Risque,False
537026,12395,Belgium,2010,12,Dec,346.1,12,20101201,Champions,False
537030,16455,United Kingdom,2010,12,Dec,246.3,13,20101201,Clients Fidèles,False
537031,16455,United Kingdom,2010,12,Dec,135.0,6,20101201,Clients Fidèles,False
537034,13081,United Kingdom,2010,12,Dec,2355.1800000000003,73,20101201,Champions,False
537035,13081,United Kingdom,2010,12,Dec,11.6,1,20101201,Champions,False
537036,15545,United Kingdom,2010,12,Dec,135.32999999999998,31,20101201,Clients Fidèles,False
537037,17243,United Kingdom,2010,12,Dec,256.90000000000003,11,20101201,Champions,False
537038,15465,United Kingdom,2010,12,Dec,535.75,7,20101201,Champions,False
537040,13089,United Kingdom,2010,12,Dec,734.3999999999999,2,20101201,Champions,False
537041,16033,United Kingdom,2010,12,Dec,155.64000000000001,26,20101201,Champions,False
537042,13838,United Kingdom,2010,12,Dec,238.11,52,20101201,Clients Fidèles,False
537044,18055,United Kingdom,2010,12,Dec,431.45,19,20101201,Champions,False
537045,15038,United Kingdom,2010,12,Dec,126.42999999999999,35,20101201,Clients Fidèles,False
537046,18109,United Kingdom,2010,12,Dec,277.45,14,20101201,Champions,False
537047,13069,United Kingdom,2010,12,Dec,326.59999999999997,41,20101201,Champions,False
537048,13069,United Kingdom,2010,12,Dec,5.9,2,20101201,Champions,False
537049,16241,United Kingdom,2010,12,Dec,277.65000000000003,14,20101201,Champions,False
537050,14800,United Kingdom,2010,12,Dec,555.84,51,20101201,Clients Fidèles,False
537051,15708,United Kingdom,2010,12,Dec,350.68,42,20101201,Clients Fidèles,False
537052,16839,United Kingdom,2010,12,Dec,552.24,5,20101201,Champions,False
537053,16168,United Kingdom,2010,12,Dec,275.8,3,20101201,Champions,False
537054,16931,United Kingdom,2010,12,Dec,152.05,41,20101201,Champions,False
537055,16814,United Kingdom,2010,12,Dec,273.29,15,20101201,Champions,False
537057,15351,United Kingdom,2010,12,Dec,274.67,51,20101201,Champions,False
537058,13269,United Kingdom,2010,12,Dec,351.43,12,20101201,Champions,False
537059,14813,United Kingdom,2010,12,Dec,127.98,24,20101201,Clients à Risque,False
537065,12567,France,2010,12,Dec,1526.92,63,20101201,Champions,False
537067,14813,United Kingdom,2010,12,Dec,27.45,6,20101201,Clients à Risque,False
537077,17062,United Kingdom,2010,12,Dec,179.64000000000001,26,20101201,Clients à Risque,False
537081,15332,Lithuania,2010,12,Dec,1145.06,25,20101201,Clients à Risque,False
537086,15332,Lithuania,2010,12,Dec,438.0,8,20101201,Clients à Risque,False
